Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;Profile 5;Profile 5;
x;y;x;y;x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];[m];[m];[m];[m];
0;3.3075223e-010;0;2.7675136e-010;0;1.1386504e-010;0;5.0015691e-010;0;3.1996364e-010;
1.1112716e-010;3.3040412e-010;1.1175879e-010;2.6216694e-010;1.114373e-010;1.8241054e-010;1.1137356e-010;5.7622399e-010;1.1144355e-010;3.1315138e-010;
2.2225433e-010;3.3527702e-010;2.2351758e-010;2.5310946e-010;2.2287459e-010;2.5920901e-010;2.2274712e-010;6.2951002e-010;2.2288709e-010;3.1611138e-010;
3.3338149e-010;3.390876e-010;3.3527637e-010;2.4836257e-010;3.3431189e-010;3.2755505e-010;3.3412069e-010;6.5620894e-010;3.3433064e-010;3.2256444e-010;
4.4450865e-010;3.3868399e-010;4.4703516e-010;2.4923008e-010;4.4574919e-010;3.7258051e-010;4.4549425e-010;6.7025972e-010;4.4577419e-010;3.2411677e-010;
5.5563582e-010;3.3982775e-010;5.5879395e-010;2.5007543e-010;5.5718649e-010;3.9167302e-010;5.5686781e-010;6.7635935e-010;5.5721773e-010;3.1497321e-010;
6.6676298e-010;3.4436233e-010;6.7055273e-010;2.6675627e-010;6.6862378e-010;3.8827828e-010;6.6824137e-010;6.7391495e-010;6.6866128e-010;2.8682492e-010;
7.7789014e-010;3.4933252e-010;7.8231152e-010;2.9191019e-010;7.8006108e-010;3.758184e-010;7.7961494e-010;6.5701518e-010;7.8010483e-010;2.5687358e-010;
8.8901731e-010;3.5459513e-010;8.9407031e-010;3.3029656e-010;8.9149838e-010;3.5405042e-010;8.909885e-010;6.2342087e-010;8.9154837e-010;2.2865398e-010;
1.0001445e-009;3.5175999e-010;1.0058291e-009;3.7363031e-010;1.0029357e-009;3.2111723e-010;1.0023621e-009;5.8853327e-010;1.0029919e-009;2.1088001e-010;
1.1112716e-009;3.4712145e-010;1.1175879e-009;4.1282994e-010;1.114373e-009;2.7126169e-010;1.1137356e-009;5.6405871e-010;1.1144355e-009;2.0787012e-010;
1.2223988e-009;3.4622754e-010;1.2293467e-009;4.3005202e-010;1.2258103e-009;2.2247831e-010;1.2251092e-009;5.5914732e-010;1.225879e-009;2.3291606e-010;
1.333526e-009;3.537064e-010;1.3411055e-009;4.2454179e-010;1.3372476e-009;1.886616e-010;1.3364827e-009;5.5925731e-010;1.3373226e-009;2.7441356e-010;
1.4446531e-009;3.7079197e-010;1.4528643e-009;3.9867635e-010;1.4486849e-009;1.8906865e-010;1.4478563e-009;5.5423621e-010;1.4487661e-009;3.2303941e-010;
1.5557803e-009;3.8751517e-010;1.564623e-009;3.641141e-010;1.5601222e-009;2.19075e-010;1.5592299e-009;5.304615e-010;1.5602097e-009;3.6355623e-010;
1.6669074e-009;3.9811902e-010;1.6763818e-009;3.299748e-010;1.6715595e-009;2.6529027e-010;1.6706034e-009;4.9218043e-010;1.6716532e-009;3.8752222e-010;
