Cross Section Length,DNA Height
nm,nm
"Subtracted by 0.5 on ""Cross Section Length""",193 pN
-1.5,-0.039
-1.395,-0.039
-1.289,-0.042
-1.184,-0.037
-1.079,-0.039
-0.974,-0.039
-0.868,-0.049
-0.763,-0.052
-0.658,-0.047
-0.553,-0.047
-0.447,-0.039
-0.342,-0.047
-0.237,-0.041
-0.131,-0.041
-0.026,-0.029
0.079,-0.03
0.184,-0.031
0.29,-0.035
0.395,-0.042
0.5,-0.037
0.605,-0.037
0.711,-0.028
0.816,-0.035
0.921,-0.037
1.026,-0.031
1.132,-0.022
1.237,-0.016
1.342,-0.009
1.448,-0.017
1.553,-0.021
1.658,-0.024
1.763,-0.015
1.869,-0.011
1.974,-0.017
2.079,-0.021
2.184,-0.02
2.29,-0.02
2.395,-0.02
2.5,-0.014
2.606,-0.013
2.711,-0.015
2.816,-0.012
2.921,-0.01
3.027,-0.01
3.132,-0.01
3.237,-0.012
3.342,-0.014
3.448,-0.003
3.553,0.003
3.658,0.006
3.763,-0.003
3.869,-0.008
3.974,-0.008
4.079,0.002
4.185,0
4.29,0.001
4.395,0.007
4.5,0.008
4.606,0.013
4.711,0.01
4.816,0.019
4.921,0.011
5.027,0.015
5.132,0.006
5.237,0.017
5.343,0.034
5.448,0.061
5.553,0.094
5.658,0.12
5.764,0.153
5.869,0.144
5.974,0.202
6.079,0.248
6.185,0.296
6.29,0.307
6.395,0.309
6.5,0.338
6.606,0.395
6.711,0.531
6.816,0.65
6.922,0.787
7.027,0.864
7.132,0.907
7.237,0.981
7.343,1.057
7.448,1.093
7.553,1.117
7.658,1.144
7.764,1.203
7.869,1.245
7.974,1.278
8.08,1.296
8.185,1.33
8.29,1.335
8.395,1.329
8.501,1.317
8.606,1.338
8.711,1.354
8.816,1.374
8.922,1.381
9.027,1.386
9.132,1.401
9.238,1.412
9.343,1.399
9.448,1.358
9.553,1.317
9.659,1.29
9.764,1.27
9.869,1.192
9.974,1.125
10.08,1.071
10.185,0.995
10.29,0.918
10.395,0.825
10.501,0.773
10.606,0.698
10.711,0.615
10.817,0.487
10.922,0.441
11.027,0.433
11.132,0.406
11.238,0.399
11.343,0.342
11.448,0.331
11.553,0.295
11.659,0.278
11.764,0.259
11.869,0.226
11.975,0.194
12.08,0.129
12.185,0.073
12.29,0.035
12.396,0.043
12.501,0.036
12.606,0.046
12.711,0.035
12.817,0.03
12.922,0.016
13.027,0.004
13.132,-0.001
13.238,0.01
13.343,0.019
13.448,0.021
13.554,0.03
13.659,0.018
13.764,0.005
13.869,0.003
13.975,0.001
14.08,-0.011
14.185,-0.01
14.29,-0.01
14.396,-0.019
14.501,-0.03
14.606,-0.03
14.712,-0.024
14.817,-0.016
14.922,-0.009
15.027,-0.013
15.133,-0.024
15.238,-0.026
15.343,-0.022
15.448,-0.026
15.554,-0.036
15.659,-0.05
15.764,-0.043
15.869,-0.032
15.975,-0.019
16.08,-0.027
16.185,-0.028
16.291,-0.023
